book,chapter_order,heading_id,section_type,pov,scene_idx,paragraph_idx,n_words,text,neg,neu,pos,compound
The Way of Kings,1,prelude,prelude,Kalak,1,1,73,"Kalak rounded a rocky stone ridge and stumbled to a stop before the body of a dying thunderclast. The enormous stone beast lay on its side, riblike protrusions from its chest broken and cracked. The monstrosity was vaguely skeletal in shape, with unnaturally long limbs that sprouted from granite shoulders. The eyes were deep red spots on the arrowhead face, as if created by a fire burning deep within the stone. They faded.",0.098,0.877,0.025,-0.6908
The Way of Kings,1,prelude,prelude,Kalak,1,2,37,"Even after all these centuries, seeing a thunderclast up close made Kalak shiver. The beast's hand was as long as a man was tall. He'd been killed by hands like those before, and it hadn't been pleasant.",0.157,0.719,0.124,-0.3616
The Way of Kings,1,prelude,prelude,Kalak,1,3,5,"Of course, dying rarely was.",0.0,1.0,0.0,0.0
The Way of Kings,1,prelude,prelude,Kalak,1,4,35,"He rounded the creature, picking his way more carefully across the battlefield. The plain was a place of misshapen rock and stone, natural pillars rising around him, bodies littering the ground. Few plants lived here.",0.067,0.823,0.11,0.1761
The Way of Kings,1,prelude,prelude,Kalak,1,5,38,"The stone ridges and mounds bore numerous scars. Some were shattered, blasted-out sections where Surgebinders had fought. Less frequently, he passed cracked, oddly shaped hollows where thunderclasts had ripped themselves free of the stone to join the fray.",0.161,0.719,0.12,-0.2263
The Way of Kings,1,prelude,prelude,Kalak,1,6,74,"Many of the bodies around him were human; many were not. Blood mixed. Red. Orange. Violet. Though none of the bodies around him stirred, an indistinct haze of sounds hung in the air. Moans of pain, cries of grief. They did not seem like the sounds of victory. Smoke curled from the occasional patches of growth or heaps of burning corpses. Even some sections of rock smoldered. The Dustbringers had done their work well.",0.153,0.794,0.053,-0.8163
The Way of Kings,1,prelude,prelude,Kalak,1,7,20,"*But I survived*, Kalak thought, hand to breast as he hastened to the meeting place. *I actually survived this time.*",0.0,0.563,0.437,0.9349
The Way of Kings,1,prelude,prelude,Kalak,1,8,49,"That was dangerous. When he died, he was sent back, no choice. When he survived the Desolation, he was supposed to go back as well. Back to that place that he dreaded. Back to that place of pain and fire. What if he just decided ... not to go?",0.283,0.634,0.083,-0.9169
The Way of Kings,1,prelude,prelude,Kalak,1,9,10,"Perilous thoughts, perhaps traitorous thoughts. He hastened on his way.",0.0,1.0,0.0,0.0
The Way of Kings,1,prelude,prelude,Kalak,1,10,77,"The place of meeting was in the shadow of a large rock formation, a spire rising into the sky. As always, the ten of them had decided upon it before the battle. The survivors would make their way here. Oddly, only one of the others was waiting for him. Jezrien. Had the other eight all died? It was possible. The battle had been so furious this time, one of the worst. The enemy was growing increasingly tenacious.",0.228,0.754,0.018,-0.9659
The Way of Kings,1,prelude,prelude,Kalak,1,11,55,"But no. Kalak frowned as he stepped up to the base of the spire. Seven magnificent swords stood proudly here, driven point-first into the stone ground. Each was a masterly work of art, flowing in design, inscribed with glyphs and patterns. He recognized each one. If their masters had died, the Blades would have vanished.",0.073,0.774,0.153,0.7469
The Way of Kings,1,prelude,prelude,Kalak,1,12,22,"These Blades were weapons of power beyond even Shardblades. These were unique. Precious. Jezrien stood outside the ring of swords, looking eastward.",0.109,0.752,0.139,0.2023
The Way of Kings,1,prelude,prelude,Kalak,1,13,1,"""Jezrien?""",0.0,1.0,0.0,0.0
