book,chapter_order,heading_id,section_type,pov,scene_idx,paragraph_idx,sentence_idx,n_words,text
The Way of Kings,1,prelude,prelude,Kalak,1,1,1,18,Kalak rounded a rocky stone ridge and stumbled to a stop before the body of a dying thunderclast.
The Way of Kings,1,prelude,prelude,Kalak,1,1,2,16,"The enormous stone beast lay on its side, riblike protrusions from its chest broken and cracked."
The Way of Kings,1,prelude,prelude,Kalak,1,1,3,16,"The monstrosity was vaguely skeletal in shape, with unnaturally long limbs that sprouted from granite shoulders."
The Way of Kings,1,prelude,prelude,Kalak,1,1,4,21,"The eyes were deep red spots on the arrowhead face, as if created by a fire burning deep within the stone."
The Way of Kings,1,prelude,prelude,Kalak,1,1,5,2,They faded.
The Way of Kings,1,prelude,prelude,Kalak,1,2,1,13,"Even after all these centuries, seeing a thunderclast up close made Kalak shiver."
The Way of Kings,1,prelude,prelude,Kalak,1,2,2,11,The beast's hand was as long as a man was tall.
The Way of Kings,1,prelude,prelude,Kalak,1,2,3,13,"He'd been killed by hands like those before, and it hadn't been pleasant."
The Way of Kings,1,prelude,prelude,Kalak,1,3,1,5,"Of course, dying rarely was."
The Way of Kings,1,prelude,prelude,Kalak,1,4,1,12,"He rounded the creature, picking his way more carefully across the battlefield."
The Way of Kings,1,prelude,prelude,Kalak,1,4,2,19,"The plain was a place of misshapen rock and stone, natural pillars rising around him, bodies littering the ground."
The Way of Kings,1,prelude,prelude,Kalak,1,4,3,4,Few plants lived here.
The Way of Kings,1,prelude,prelude,Kalak,1,5,1,8,The stone ridges and mounds bore numerous scars.
The Way of Kings,1,prelude,prelude,Kalak,1,5,2,9,"Some were shattered, blasted-out sections where Surgebinders had fought."
The Way of Kings,1,prelude,prelude,Kalak,1,5,3,21,"Less frequently, he passed cracked, oddly shaped hollows where thunderclasts had ripped themselves free of the stone to join the fray."
The Way of Kings,1,prelude,prelude,Kalak,1,6,1,11,Many of the bodies around him were human; many were not.
The Way of Kings,1,prelude,prelude,Kalak,1,6,2,2,Blood mixed.
The Way of Kings,1,prelude,prelude,Kalak,1,6,3,1,Red.
The Way of Kings,1,prelude,prelude,Kalak,1,6,4,1,Orange.
The Way of Kings,1,prelude,prelude,Kalak,1,6,5,1,Violet.
The Way of Kings,1,prelude,prelude,Kalak,1,6,6,17,"Though none of the bodies around him stirred, an indistinct haze of sounds hung in the air."
The Way of Kings,1,prelude,prelude,Kalak,1,6,7,6,"Moans of pain, cries of grief."
The Way of Kings,1,prelude,prelude,Kalak,1,6,8,9,They did not seem like the sounds of victory.
The Way of Kings,1,prelude,prelude,Kalak,1,6,9,13,Smoke curled from the occasional patches of growth or heaps of burning corpses.
The Way of Kings,1,prelude,prelude,Kalak,1,6,10,6,Even some sections of rock smoldered.
The Way of Kings,1,prelude,prelude,Kalak,1,6,11,7,The Dustbringers had done their work well.
The Way of Kings,1,prelude,prelude,Kalak,1,7,1,15,"*But I survived*, Kalak thought, hand to breast as he hastened to the meeting place."
The Way of Kings,1,prelude,prelude,Kalak,1,7,2,5,*I actually survived this time.*
The Way of Kings,1,prelude,prelude,Kalak,1,8,1,3,That was dangerous.
The Way of Kings,1,prelude,prelude,Kalak,1,8,2,9,"When he died, he was sent back, no choice."
The Way of Kings,1,prelude,prelude,Kalak,1,8,3,13,"When he survived the Desolation, he was supposed to go back as well."
The Way of Kings,1,prelude,prelude,Kalak,1,8,4,7,Back to that place that he dreaded.
The Way of Kings,1,prelude,prelude,Kalak,1,8,5,8,Back to that place of pain and fire.
The Way of Kings,1,prelude,prelude,Kalak,1,8,6,9,What if he just decided ... not to go?
The Way of Kings,1,prelude,prelude,Kalak,1,9,1,5,"Perilous thoughts, perhaps traitorous thoughts."
The Way of Kings,1,prelude,prelude,Kalak,1,9,2,5,He hastened on his way.
The Way of Kings,1,prelude,prelude,Kalak,1,10,1,19,"The place of meeting was in the shadow of a large rock formation, a spire rising into the sky."
The Way of Kings,1,prelude,prelude,Kalak,1,10,2,13,"As always, the ten of them had decided upon it before the battle."
The Way of Kings,1,prelude,prelude,Kalak,1,10,3,7,The survivors would make their way here.
The Way of Kings,1,prelude,prelude,Kalak,1,10,4,10,"Oddly, only one of the others was waiting for him."
The Way of Kings,1,prelude,prelude,Kalak,1,10,5,1,Jezrien.
The Way of Kings,1,prelude,prelude,Kalak,1,10,6,6,Had the other eight all died?
The Way of Kings,1,prelude,prelude,Kalak,1,10,7,3,It was possible.
The Way of Kings,1,prelude,prelude,Kalak,1,10,8,12,"The battle had been so furious this time, one of the worst."
The Way of Kings,1,prelude,prelude,Kalak,1,10,9,6,The enemy was growing increasingly tenacious.
The Way of Kings,1,prelude,prelude,Kalak,1,11,1,2,But no.
The Way of Kings,1,prelude,prelude,Kalak,1,11,2,12,Kalak frowned as he stepped up to the base of the spire.
The Way of Kings,1,prelude,prelude,Kalak,1,11,3,12,"Seven magnificent swords stood proudly here, driven point-first into the stone ground."
The Way of Kings,1,prelude,prelude,Kalak,1,11,4,15,"Each was a masterly work of art, flowing in design, inscribed with glyphs and patterns."
The Way of Kings,1,prelude,prelude,Kalak,1,11,5,4,He recognized each one.
The Way of Kings,1,prelude,prelude,Kalak,1,11,6,10,"If their masters had died, the Blades would have vanished."
